,idx,energy,cnt_yellow_thr_105,variance_105,cnt_yellow_thr_120,variance_120
117,360,6,147,60,0,0
118,361,6,197,88,0,0
119,365,6,186,79,0,0
120,370,6,153,56,0,0
121,381,6,207,88,0,0
122,384,6,139,50,0,0
123,386,6,135,48,0,0
124,388,6,170,69,0,0
125,391,6,190,75,0,0
126,392,6,147,56,0,0
127,395,6,102,39,0,0
128,396,6,124,45,0,0
129,404,6,178,68,0,0
130,406,6,144,52,0,0
131,410,6,160,68,0,0
132,412,6,120,39,0,0
133,413,6,157,63,0,0
134,415,6,167,63,0,0
135,416,6,180,74,0,0
136,417,6,113,34,0,0
137,418,6,167,64,0,0
138,421,6,189,73,0,0
139,427,6,191,78,0,0
140,429,6,199,84,0,0
141,432,6,169,69,0,0
142,434,6,147,58,0,0
143,436,6,113,45,0,0
144,437,6,136,56,0,0
145,438,6,169,62,0,0
146,440,6,121,51,0,0
147,442,6,136,56,0,0
148,443,6,191,70,0,0
149,446,6,141,53,0,0
150,450,6,162,66,0,0
151,452,6,109,40,0,0
152,457,6,208,86,0,0
153,463,6,189,76,0,0
154,467,6,238,103,0,0
155,473,6,157,66,0,0
156,476,6,127,47,0,0
157,479,6,114,43,0,0
158,485,6,174,65,0,0
159,486,6,198,87,0,0
160,487,6,85,31,0,0
161,489,6,151,66,0,0
162,492,6,166,64,0,0
163,497,6,119,44,0,0
164,502,6,177,78,0,0
165,505,6,200,100,0,0
166,506,6,152,53,0,0
167,508,6,101,37,0,0
168,511,6,253,113,0,0
169,512,6,160,63,0,0
170,516,6,79,32,0,0
171,523,6,177,75,0,0
172,526,6,138,51,0,0
173,527,6,144,57,0,0
174,529,6,105,39,0,0
175,531,6,140,58,0,0
176,536,6,138,48,0,0
177,538,6,162,64,0,0
178,540,6,77,27,0,0
179,541,6,200,77,0,0
180,544,6,140,70,0,0
181,546,6,137,56,0,0
182,551,6,86,27,0,0
183,554,6,149,51,0,0
184,563,6,138,53,0,0
185,568,6,165,71,0,0
186,569,6,91,26,0,0
187,574,6,207,75,0,0
188,580,6,98,35,0,0
189,581,6,119,47,0,0
190,582,6,141,54,0,0
191,583,6,224,92,0,0
192,586,6,171,67,0,0
193,587,6,153,63,0,0
194,588,6,158,74,0,0
195,589,6,203,78,0,0
196,591,6,172,71,0,0
197,596,6,104,43,0,0
198,597,6,196,78,0,0
199,600,6,131,46,0,0
200,606,6,120,39,0,0
201,608,6,107,35,0,0
202,610,6,172,65,0,0
203,612,6,166,63,0,0
204,616,6,148,51,0,0
205,621,6,128,61,0,0
206,622,6,147,55,0,0
207,631,6,122,57,0,0
208,632,6,184,79,0,0
209,635,6,145,53,0,0
210,641,6,74,26,0,0
211,645,6,133,48,0,0
212,651,6,137,56,0,0
213,655,6,164,61,0,0
214,657,6,75,27,0,0
215,660,6,162,59,0,0
216,661,6,141,57,0,0
217,663,6,189,72,0,0
218,666,6,137,62,0,0
219,667,6,170,62,0,0
220,669,6,181,75,0,0
221,670,6,195,79,0,0
222,671,6,141,50,0,0
223,672,6,90,31,0,0
224,677,6,99,38,0,0
225,678,6,190,75,0,0
226,680,6,137,53,0,0
227,683,6,127,46,0,0
228,688,6,113,45,0,0
229,690,6,91,34,0,0
230,701,6,202,79,0,0
231,703,6,213,87,0,0
232,712,6,195,92,0,0
233,714,6,185,75,0,0
234,716,6,233,89,0,0
235,718,6,179,73,0,0
236,719,6,122,55,0,0
237,722,6,157,60,0,0
238,727,6,155,58,0,0
239,733,6,100,34,0,0
240,738,6,160,59,0,0
241,741,6,131,52,0,0
242,745,6,126,52,0,0
243,748,6,143,55,0,0
244,752,6,177,72,0,0
245,753,6,148,57,0,0
246,754,6,103,40,0,0
247,755,6,186,72,0,0
248,757,6,155,67,0,0
249,764,6,96,34,0,0
250,766,6,146,58,0,0
251,767,6,100,37,0,0
252,772,6,152,53,0,0
253,777,6,186,76,0,0
254,779,6,138,51,0,0
255,783,6,173,85,0,0
256,788,6,120,43,0,0
257,789,6,166,68,0,0
258,791,6,118,42,0,0
259,792,6,146,56,0,0
260,797,6,143,49,0,0
261,798,6,99,36,0,0
262,800,6,87,30,0,0
263,802,6,166,68,0,0
264,803,6,54,21,0,0
265,808,6,196,75,0,0
266,812,6,126,40,0,0
267,814,6,58,22,0,0
268,816,6,121,44,0,0
269,821,6,161,59,0,0
270,826,6,220,84,0,0
271,827,6,176,64,0,0
272,831,6,134,59,0,0
273,834,6,142,50,0,0
274,835,6,173,70,0,0
275,836,6,166,67,0,0
276,837,6,138,49,0,0
277,840,6,139,60,0,0
278,843,6,59,23,0,0
279,846,6,159,60,0,0
280,850,6,175,64,0,0
281,852,6,184,71,0,0
282,856,6,122,48,0,0
283,857,6,133,51,0,0
284,858,6,189,78,0,0
285,860,6,150,67,0,0
286,861,6,133,48,0,0
287,863,6,147,59,0,0
288,867,6,108,49,0,0
289,869,6,196,81,0,0
290,873,6,148,52,0,0
291,876,6,86,36,0,0
292,880,6,157,60,0,0
293,884,6,140,47,0,0
294,889,6,132,56,0,0
295,890,6,68,30,0,0
296,893,6,120,44,0,0
297,897,6,116,42,0,0
298,900,6,125,46,0,0
299,902,6,80,32,0,0
300,906,6,123,44,0,0
301,908,6,148,60,0,0
302,909,6,172,71,0,0
303,913,6,76,25,0,0
304,915,6,113,39,0,0
305,921,6,196,81,0,0
306,924,6,213,83,0,0
307,934,6,234,91,0,0
308,935,6,82,26,0,0
309,938,6,89,36,0,0
310,941,6,159,62,0,0
311,945,6,213,93,0,0
312,946,6,144,51,0,0
313,949,6,76,22,0,0
314,952,6,112,46,0,0
315,953,6,128,50,0,0
316,954,6,161,54,0,0
317,965,6,142,52,0,0
318,967,6,108,42,0,0
319,969,6,128,57,0,0
320,970,6,138,52,0,0
321,976,6,142,55,0,0
322,978,6,169,64,0,0
323,982,6,117,40,0,0
324,987,6,152,57,0,0
325,990,6,145,54,0,0
326,992,6,195,74,0,0
327,993,6,87,34,0,0
328,994,6,100,40,0,0
329,997,6,105,50,0,0
330,1002,6,111,51,0,0
331,1004,6,261,108,0,0
332,1009,6,140,59,0,0
333,1011,6,163,63,0,0
334,1013,6,187,75,0,0
335,1014,6,139,57,0,0
336,1015,6,145,61,0,0
337,1023,6,189,70,0,0
338,1028,6,138,51,0,0
339,1029,6,210,88,0,0
340,1033,6,151,55,0,0
341,1036,6,208,81,0,0
342,1039,6,151,60,0,0
343,1041,6,153,59,0,0
344,1042,6,177,69,0,0
345,1049,6,151,52,0,0
346,1053,6,134,57,0,0
347,1054,6,146,52,0,0
348,1055,6,233,111,0,0
349,1056,6,149,59,0,0
350,1058,6,162,59,0,0
351,1059,6,138,59,0,0
352,1060,6,209,87,0,0
353,1062,6,216,85,0,0
354,1063,6,178,75,0,0
355,1065,6,131,61,0,0
356,1066,6,88,29,0,0
357,1067,6,160,75,0,0
358,1069,6,160,63,0,0
359,1071,6,177,64,0,0
360,1072,6,135,50,0,0
361,1077,6,137,59,0,0
362,1080,6,145,59,0,0
363,1081,6,179,72,0,0
364,1083,6,176,77,0,0
365,1090,6,158,63,0,0
366,1098,6,154,58,0,0
367,1101,6,168,64,0,0
368,1105,6,177,71,0,0
369,1107,6,162,60,0,0
370,1112,6,164,58,0,0
371,1113,6,178,73,0,0
372,1115,6,192,75,0,0
373,1119,6,146,56,0,0
374,1123,6,133,45,0,0
375,1125,6,132,50,0,0
376,1128,6,126,50,0,0
377,1129,6,80,28,0,0
378,1132,6,168,66,0,0
379,1134,6,107,38,0,0
380,1136,6,153,59,0,0
381,1142,6,91,28,0,0
382,1143,6,131,52,0,0
383,1156,6,148,61,0,0
384,1157,6,156,59,0,0
385,1159,6,186,77,0,0
386,1163,6,139,56,0,0
387,1164,6,159,57,0,0
388,1166,6,145,53,0,0
389,1167,6,122,45,0,0
390,1168,6,220,89,0,0
391,1171,6,44,15,0,0
392,1173,6,105,36,0,0
393,1174,6,118,37,0,0
394,1175,6,172,80,0,0
395,1178,6,182,87,0,0
396,1180,6,104,39,0,0
397,1187,6,87,29,0,0
398,1191,6,113,48,0,0
399,1192,6,135,47,0,0
400,1193,6,155,55,0,0
401,1199,6,170,61,0,0
402,1200,6,175,82,0,0
403,1207,6,155,60,0,0
404,1208,6,152,66,0,0
405,1209,6,150,51,0,0
406,1211,6,153,59,0,0
407,1215,6,180,79,0,0
408,1218,6,126,49,0,0
409,1221,6,124,60,0,0
410,1227,6,139,62,0,0
411,1229,6,78,26,0,0
412,1231,6,184,67,0,0
413,1235,6,160,62,0,0
414,1239,6,193,88,0,0
415,1248,6,154,80,0,0
416,1250,6,144,54,0,0
417,1258,6,149,56,0,0
418,1260,6,132,46,0,0
419,1262,6,156,64,0,0
420,1264,6,159,69,0,0
421,1265,6,113,53,0,0
422,1268,6,161,57,0,0
423,1279,6,144,60,0,0
424,1282,6,122,45,0,0
425,1283,6,131,54,0,0
426,1285,6,126,49,0,0
427,1286,6,168,70,0,0
428,1287,6,192,73,0,0
429,1290,6,89,35,0,0
430,1296,6,188,80,0,0
431,1300,6,118,44,0,0
432,1304,6,54,18,0,0
433,1305,6,182,68,0,0
434,1307,6,154,61,0,0
435,1308,6,120,44,0,0
436,1309,6,104,36,0,0
437,1311,6,124,48,0,0
438,1317,6,144,57,0,0
439,1318,6,150,59,0,0
440,1319,6,223,87,0,0
441,1320,6,192,83,0,0
442,1330,6,155,65,0,0
443,1332,6,83,28,0,0
444,1333,6,177,69,0,0
445,1335,6,137,48,0,0
446,1342,6,113,40,0,0
447,1343,6,186,79,0,0
448,1347,6,151,56,0,0
449,1352,6,86,29,0,0
450,1358,6,136,47,0,0
451,1359,6,130,44,0,0
452,1360,6,97,33,0,0
453,1363,6,152,65,0,0
454,1365,6,155,60,0,0
455,1366,6,207,72,0,0
456,1369,6,200,83,0,0
457,1371,6,189,89,0,0
458,1375,6,118,46,0,0
459,1379,6,187,80,0,0
460,1381,6,162,72,0,0
461,1385,6,181,76,0,0
462,1387,6,102,40,0,0
463,1390,6,184,74,0,0
464,1391,6,150,63,0,0
465,1395,6,132,49,0,0
466,1396,6,131,50,0,0
467,1398,6,149,53,0,0
468,1399,6,84,32,0,0
469,1402,6,209,96,0,0
470,1406,6,188,73,0,0
471,1412,6,182,69,0,0
472,1414,6,150,57,0,0
473,1416,6,174,71,0,0
474,1418,6,134,51,0,0
475,1419,6,69,29,0,0
476,1422,6,172,80,0,0
477,1423,6,129,43,0,0
478,1427,6,237,100,0,0
479,1428,6,175,68,0,0
480,1429,6,109,39,0,0
481,1430,6,149,64,0,0
482,1433,6,175,70,0,0
483,1435,6,109,36,0,0
484,1440,6,168,68,0,0
485,1442,6,180,73,0,0
486,1444,6,167,69,0,0
487,1447,6,176,72,0,0
488,1448,6,145,61,0,0
489,1450,6,161,61,0,0
490,1455,6,106,46,0,0
491,1456,6,186,72,0,0
492,1458,6,121,54,0,0
493,1462,6,222,92,0,0
494,1464,6,134,56,0,0
495,1468,6,78,30,0,0
496,1470,6,161,74,0,0
497,1471,6,177,74,0,0
498,1473,6,130,46,0,0
499,1475,6,152,56,0,0
500,1477,6,161,56,0,0
501,1481,6,156,59,0,0
502,1483,6,218,87,0,0
503,1488,6,152,64,0,0
504,1490,6,87,27,0,0
505,1492,6,235,94,0,0
506,1494,6,194,88,0,0
507,1496,6,95,37,0,0
508,1507,6,156,61,0,0
509,1508,6,161,64,0,0
510,1509,6,108,35,0,0
511,1512,6,165,65,0,0
512,1513,6,91,38,0,0
513,1518,6,136,57,0,0
514,1520,6,93,32,0,0
515,1524,6,26,10,0,0
516,1529,6,137,53,0,0
517,1530,6,152,56,0,0
518,1533,6,120,41,0,0
519,1546,6,142,52,0,0
520,1547,6,110,46,0,0
521,1550,6,147,58,0,0
522,1556,6,174,63,0,0
523,1557,6,86,29,0,0
524,1558,6,132,47,0,0
525,1560,6,119,49,0,0
526,1561,6,193,76,0,0
527,1562,6,141,58,0,0
528,1573,6,92,39,0,0
529,1576,6,113,43,0,0
530,1577,6,149,57,0,0
531,1580,6,194,79,0,0
532,1581,6,99,44,0,0
533,1586,6,123,41,0,0
534,1588,6,151,50,0,0
535,1589,6,173,67,0,0
536,1590,6,134,55,0,0
537,1604,6,144,53,0,0
538,1606,6,109,42,0,0
539,1610,6,153,56,0,0
540,1611,6,116,43,0,0
541,1615,6,139,52,0,0
542,1624,6,223,89,0,0
543,1625,6,233,104,0,0
544,1626,6,196,82,0,0
545,1636,6,118,40,0,0
546,1638,6,201,77,0,0
547,1639,6,158,69,0,0
548,1644,6,112,46,0,0
549,1648,6,157,59,0,0
550,1656,6,161,68,0,0
551,1658,6,151,49,0,0
552,1659,6,138,50,0,0
553,1660,6,164,63,0,0
554,1665,6,155,59,0,0
555,1668,6,76,29,0,0
556,1670,6,176,69,0,0
557,1671,6,119,44,0,0
558,1674,6,130,43,0,0
559,1678,6,177,74,0,0
560,1680,6,138,48,0,0
561,1685,6,61,23,0,0
562,1691,6,184,75,0,0
563,1695,6,50,17,0,0
564,1698,6,178,67,0,0
565,1710,6,204,80,0,0
566,1711,6,120,43,0,0
567,1716,6,131,44,0,0
568,1717,6,125,43,0,0
569,1719,6,113,38,0,0
570,1727,6,159,75,0,0
571,1729,6,188,74,0,0
572,1730,6,169,59,0,0
573,1732,6,99,33,0,0
574,1733,6,159,65,0,0
575,1735,6,154,60,0,0
576,1738,6,178,71,0,0
577,1740,6,178,73,0,0
578,1741,6,73,25,0,0
579,1746,6,162,62,0,0
580,1747,6,99,28,0,0
581,1760,6,169,71,0,0
582,1763,6,189,71,0,0
583,1764,6,172,66,0,0
584,1766,6,152,54,0,0
585,1770,6,141,59,0,0
586,1771,6,168,84,0,0
587,1773,6,204,89,0,0
588,1774,6,167,62,0,0
589,1776,6,144,53,0,0
590,1784,6,226,91,0,0
591,1786,6,182,72,0,0
592,1787,6,137,66,0,0
593,1790,6,180,82,0,0
594,1792,6,159,68,0,0
595,1794,6,160,64,0,0
596,1802,6,126,44,0,0
597,1804,6,194,74,0,0
598,1805,6,188,75,0,0
599,1807,6,143,53,0,0
600,1809,6,83,27,0,0
601,1817,6,180,67,0,0
602,1819,6,208,81,0,0
603,1821,6,157,59,0,0
604,1822,6,100,38,0,0
605,1826,6,180,76,0,0
606,1827,6,159,60,0,0
607,1833,6,198,80,0,0
608,1839,6,151,61,0,0
609,1840,6,158,56,0,0
610,1841,6,149,55,0,0
611,1845,6,65,24,0,0
612,1852,6,211,90,0,0
613,1853,6,121,41,0,0
614,1860,6,169,64,0,0
615,1862,6,147,55,0,0
616,1863,6,170,68,0,0
617,1865,6,161,57,0,0
618,1869,6,151,56,0,0
619,1871,6,186,72,0,0
620,1872,6,189,79,0,0
621,1876,6,197,93,0,0
622,1877,6,108,38,0,0
623,1881,6,160,59,0,0
624,1887,6,181,71,0,0
625,1892,6,108,45,0,0
626,1894,6,124,49,0,0
627,1896,6,186,70,0,0
628,1897,6,139,57,0,0
629,1900,6,152,54,0,0
630,1902,6,93,33,0,0
631,1904,6,106,41,0,0
632,1906,6,125,54,0,0
633,1907,6,148,47,0,0
634,1911,6,103,49,0,0
635,1912,6,180,79,0,0
636,1913,6,158,69,0,0
637,1919,6,127,47,0,0
638,1920,6,102,46,0,0
639,1926,6,157,59,0,0
640,1928,6,106,47,0,0
641,1929,6,115,42,0,0
642,1930,6,170,64,0,0
643,1932,6,153,64,0,0
644,1938,6,83,33,0,0
645,1944,6,179,73,0,0
646,1949,6,156,62,0,0
647,1951,6,172,74,0,0
648,1956,6,148,60,0,0
649,1957,6,155,63,0,0
650,1958,6,149,54,0,0
651,1959,6,178,65,0,0
652,1962,6,94,43,0,0
653,1965,6,134,50,0,0
654,1967,6,202,77,0,0
655,1968,6,200,79,0,0
656,1975,6,174,73,0,0
657,1978,6,83,33,0,0
658,1979,6,134,46,0,0
659,1981,6,178,66,0,0
660,1982,6,131,47,0,0
661,1985,6,218,96,0,0
662,1990,6,161,64,0,0
663,1993,6,90,33,0,0
664,1995,6,168,68,0,0
665,1999,6,170,65,0,0
666,2002,6,190,74,0,0
667,2003,6,30,5,0,0
668,2005,6,223,90,0,0
669,2009,6,189,79,0,0
670,2012,6,158,61,0,0
671,2014,6,101,45,0,0
672,2015,6,109,37,0,0
673,2017,6,153,72,0,0
674,2018,6,189,83,0,0
675,2021,6,133,43,0,0
676,2027,6,185,76,0,0
677,2028,6,213,78,0,0
678,2029,6,197,85,0,0
679,2030,6,149,62,0,0
680,2035,6,153,59,0,0
681,2036,6,154,56,0,0
682,2041,6,156,57,0,0
683,2043,6,114,42,0,0
684,2045,6,82,29,0,0
685,2048,6,146,55,0,0
686,2054,6,210,89,0,0
687,2057,6,147,58,0,0
688,2059,6,146,52,0,0
689,2063,6,154,60,0,0
690,2065,6,128,48,0,0
691,2066,6,193,74,0,0
692,2069,6,75,27,0,0
693,2070,6,189,87,0,0
694,2080,6,149,51,0,0
695,2082,6,193,77,0,0
696,2085,6,126,51,0,0
697,2091,6,155,52,0,0
698,2093,6,172,70,0,0
699,2100,6,126,52,0,0
700,2101,6,73,31,0,0
701,2102,6,172,68,0,0
702,2106,6,164,65,0,0
703,2107,6,120,47,0,0
704,2115,6,163,75,0,0
705,2119,6,139,53,0,0
706,2121,6,90,35,0,0
707,2124,6,161,59,0,0
708,2131,6,181,72,0,0
709,2132,6,111,40,0,0
710,2133,6,129,49,0,0
711,2136,6,156,62,0,0
712,2137,6,155,72,0,0
713,2140,6,161,71,0,0
714,2142,6,151,60,0,0
715,2147,6,146,57,0,0
716,2149,6,163,62,0,0
717,2154,6,191,73,0,0
718,2156,6,130,50,0,0
719,2161,6,108,40,0,0
720,2163,6,89,43,0,0
721,2164,6,158,64,0,0
722,2166,6,100,43,0,0
723,2170,6,92,39,0,0
724,2172,6,100,34,0,0
725,2173,6,201,85,0,0
726,2178,6,112,44,0,0
727,2179,6,52,15,0,0
728,2184,6,164,62,0,0
729,2188,6,169,70,0,0
730,2196,6,176,70,0,0
731,2198,6,168,69,0,0
732,2199,6,100,33,0,0
733,2200,6,161,64,0,0
734,2201,6,154,54,0,0
735,2202,6,143,56,0,0
736,2205,6,91,35,0,0
737,2207,6,208,100,0,0
738,2218,6,179,67,0,0
739,2222,6,156,55,0,0
740,2223,6,153,64,0,0
741,2224,6,96,42,0,0
742,2225,6,76,29,0,0
743,2227,6,205,89,0,0
744,2228,6,213,84,0,0
745,2234,6,168,67,0,0
746,2236,6,146,60,0,0
747,2237,6,196,73,0,0
748,2244,6,174,68,0,0
749,2245,6,142,48,0,0
750,2247,6,165,61,0,0
751,2248,6,131,58,0,0
752,2252,6,167,68,0,0
753,2260,6,149,58,0,0
754,2261,6,150,54,0,0
755,2265,6,101,33,0,0
756,2267,6,164,62,0,0
757,2270,6,93,33,0,0
758,2271,6,125,49,0,0
759,2272,6,134,49,0,0
760,2274,6,153,60,0,0
761,2275,6,91,29,0,0
762,2277,6,140,59,0,0
763,2278,6,118,41,0,0
764,2280,6,173,72,0,0
765,2287,6,215,88,0,0
766,2288,6,90,39,0,0
767,2291,6,194,97,0,0
768,2293,6,188,86,0,0
769,2297,6,84,27,0,0
770,2299,6,186,78,0,0
771,2301,6,133,45,0,0
772,2302,6,153,55,0,0
773,2303,6,174,70,0,0
774,2304,6,174,68,0,0
775,2305,6,195,73,0,0
776,2317,6,163,65,0,0
777,2321,6,109,51,0,0
778,2322,6,149,57,0,0
779,2325,6,189,78,0,0
780,2328,6,155,58,0,0
781,2333,6,149,51,0,0
782,2339,6,151,67,0,0
783,2341,6,115,41,0,0
784,2342,6,120,44,0,0
785,2345,6,121,47,0,0
786,2357,6,120,51,0,0
787,2358,6,131,57,0,0
788,2363,6,132,56,0,0
789,2368,6,109,46,0,0
790,2371,6,150,59,0,0
791,2372,6,179,86,0,0
792,2373,6,121,43,0,0
793,2376,6,167,62,0,0
794,2378,6,190,72,0,0
795,2379,6,130,54,0,0
796,2382,6,145,53,0,0
797,2383,6,128,52,0,0
798,2389,6,151,53,0,0
799,2390,6,167,60,0,0
800,2391,6,111,42,0,0
801,2407,6,191,85,0,0
802,2409,6,142,56,0,0
803,2411,6,136,58,0,0
804,2412,6,141,63,0,0
805,2416,6,134,51,0,0
806,2419,6,188,74,0,0
807,2421,6,138,50,0,0
808,2424,6,197,89,0,0
809,2425,6,137,51,0,0
810,2427,6,99,38,0,0
811,2429,6,129,42,0,0
812,2433,6,176,73,0,0
813,2434,6,194,74,0,0
814,2438,6,170,73,0,0
815,2440,6,152,61,0,0
816,2443,6,172,67,0,0
817,2444,6,182,70,0,0
818,2449,6,115,37,0,0
819,2450,6,83,26,0,0
820,2452,6,100,37,0,0
821,2455,6,122,46,0,0
822,2457,6,154,59,0,0
823,2462,6,148,55,0,0
824,2465,6,112,48,0,0
825,2467,6,177,83,0,0
826,2469,6,139,47,0,0
827,2471,6,68,20,0,0
828,2473,6,187,73,0,0
829,2475,6,200,75,0,0
830,2476,6,96,33,0,0
831,2479,6,98,33,0,0
832,2482,6,138,52,0,0
833,2483,6,155,55,0,0
834,2484,6,138,60,0,0
835,2486,6,215,88,0,0
836,2487,6,203,79,0,0
837,2489,6,170,68,0,0
838,2491,6,131,58,0,0
839,2492,6,150,59,0,0
840,2494,6,149,60,0,0
841,2497,6,104,38,0,0
842,2501,6,135,55,0,0
843,2507,6,180,72,0,0
844,2512,6,156,58,0,0
845,2519,6,91,35,0,0
846,2520,6,183,70,0,0
847,2522,6,192,81,0,0
848,2530,6,154,62,0,0
849,2538,6,137,57,0,0
850,2542,6,84,32,0,0
851,2544,6,64,22,0,0
852,2545,6,139,56,0,0
853,2546,6,113,45,0,0
854,2548,6,163,61,0,0
855,2555,6,138,52,0,0
856,2560,6,126,46,0,0
857,2562,6,143,60,0,0
858,2563,6,95,31,0,0
859,2564,6,161,71,0,0
860,2568,6,124,49,0,0
861,2577,6,181,70,0,0
862,2580,6,181,73,0,0
863,2587,6,152,58,0,0
864,2588,6,114,43,0,0
865,2589,6,118,46,0,0
866,2590,6,139,50,0,0
867,2597,6,122,60,0,0
868,2598,6,162,66,0,0
869,2599,6,152,63,0,0
870,2600,6,254,107,0,0
871,2601,6,156,63,0,0
872,2606,6,238,104,0,0
873,2608,6,176,60,0,0
874,2609,6,125,61,0,0
875,2614,6,124,39,0,0
876,2615,6,108,38,0,0
877,2616,6,131,52,0,0
878,2618,6,142,60,0,0
879,2624,6,159,60,0,0
880,2627,6,203,80,0,0
881,2632,6,183,84,0,0
882,2633,6,144,61,0,0
883,2635,6,143,54,0,0
884,2636,6,226,94,0,0
885,2638,6,86,31,0,0
886,2641,6,227,90,0,0
887,2642,6,103,41,0,0
888,2647,6,151,67,0,0
889,2649,6,176,73,0,0
890,2656,6,176,78,0,0
891,2662,6,104,37,0,0
892,2663,6,145,60,0,0
893,2665,6,245,91,0,0
894,2667,6,163,71,0,0
895,2671,6,129,48,0,0
896,2672,6,235,99,0,0
897,2673,6,114,48,0,0
898,2675,6,179,67,0,0
899,2677,6,228,89,0,0
900,2678,6,114,39,0,0
901,2682,6,187,72,0,0
902,2684,6,154,59,0,0
903,2685,6,39,13,0,0
904,2687,6,135,55,0,0
905,2689,6,182,71,0,0
906,2691,6,173,67,0,0
907,2692,6,209,82,0,0
908,2693,6,131,51,0,0
909,2698,6,107,46,0,0
910,2699,6,136,52,0,0
911,2706,6,114,39,0,0
912,2707,6,163,60,0,0
913,2708,6,142,50,0,0
914,2715,6,166,65,0,0
915,2721,6,132,45,0,0
916,2724,6,181,68,0,0
917,2725,6,102,35,0,0
918,2727,6,191,73,0,0
919,2730,6,127,46,0,0
920,2733,6,110,44,0,0
921,2734,6,94,31,0,0
922,2736,6,134,47,0,0
923,2741,6,171,59,0,0
924,2743,6,140,52,0,0
925,2746,6,155,59,0,0
926,2748,6,162,63,0,0
927,2751,6,174,65,0,0
928,2754,6,92,48,0,0
929,2758,6,195,78,0,0
930,2763,6,80,36,0,0
931,2766,6,128,45,0,0
932,2767,6,61,16,0,0
933,2771,6,184,84,0,0
934,2772,6,132,47,0,0
935,2773,6,130,52,0,0
936,2774,6,147,55,0,0
937,2780,6,157,71,0,0
938,2787,6,204,86,0,0
939,2790,6,176,71,0,0
940,2794,6,82,27,0,0
941,2799,6,210,78,0,0
942,2805,6,176,67,0,0
943,2816,6,203,82,0,0
944,2817,6,145,51,0,0
945,2818,6,184,69,0,0
946,2820,6,132,50,0,0
947,2824,6,184,76,0,0
948,2825,6,129,45,0,0
